"","site_id","TriggerID","ImageFile1","ImageDate1","ImageFile2","ImageDate2","subject_id","top_identity","top_value","consensus_pct"
"340","GCTL","GCTL_CC_06Dec2021_09170012_frame1","09170012_frame_101.png","9/17/2021 23:36","09170012_frame_102.png","9/17/2021 23:36","99802346","RINGTAIL","8","80"
"341","GCTL","GCTL_CC_06Dec2021_09200013_frame1","09200013_frame_101.png","9/20/2021 10:51","09200013_frame_102.png","9/20/2021 10:51","99802347","RINGTAIL","9","90"
"342","GCTL","GCTL_CC_06Dec2021_09210015_frame1","09210015_frame_101.png","9/21/2021 6:32","09210015_frame_102.png","9/21/2021 6:32","99802349","RINGTAIL","9","90"
"343","GCTL","GCTL_CC_06Dec2021_09210017_frame1","09210017_frame_101.png","9/22/2021 1:21","09210017_frame_102.png","9/22/2021 1:21","99802350","RINGTAIL","10","100"
"344","GCTL","GCTL_CC_06Dec2021_09210018_frame1","09210018_frame_101.png","9/22/2021 1:22","09210018_frame_102.png","9/22/2021 1:22","99802351","RINGTAIL","9","90"
"345","GCTL","GCTL_CC_06Dec2021_09230022_frame1","09230022_frame_101.png","9/23/2021 7:47","09230022_frame_102.png","9/23/2021 7:47","99802353","RINGTAIL","8","80"
"346","GCTL","GCTL_CC_06Dec2021_09230023_frame1","09230023_frame_101.png","9/23/2021 7:48","09230023_frame_102.png","9/23/2021 7:48","99802354","RINGTAIL","10","100"
"347","GCTL","GCTL_CC_06Dec2021_09240024_frame1","09240024_frame_101.png","9/24/2021 12:53","09240024_frame_102.png","9/24/2021 12:53","99802355","RINGTAIL","5","50"
"348","GCTL","GCTL_CC_06Dec2021_09240025_frame1","09240025_frame_101.png","9/24/2021 12:54","09240025_frame_102.png","9/24/2021 12:54","99802356","RINGTAIL","8","80"
"349","GCTL","GCTL_CC_06Dec2021_11080272_frame1","11080272_frame_101.png","11/8/2021 8:38","11080272_frame_102.png","11/8/2021 8:38","99802607","RINGTAIL","9","90"
"350","GCTL","GCTL_CC_06Dec2021_11080272_frame1","11080272_frame_101.png","11/8/2021 8:38","11080272_frame_102.png","11/8/2021 8:38","100027058","RINGTAIL","8","80"
"351","GCTL","GCTL_CC_06Dec2021_09150002_frame_2","09150002_frame_201.png","9/15/2021 8:38","09150002_frame_202.png","9/15/2021 8:38","99802618","RINGTAIL","6","60"
"352","GCTL","GCTL_CC_06Dec2021_09170008_frame_2","09170008_frame_201.png","9/17/2021 23:01","09170008_frame_202.png","9/17/2021 23:01","99802621","RINGTAIL","5","50"
