date_added,latrine_site,month_year,segment_id,fragment_id,vehicle_access,fragment_type,fragment_description,fragment_weight,notes
3/31/23,GCETRO,Jun2021,GCET2_S4_02Jun2021,GCET2_S4_02Jun2021_F2,yes,Vertebrate,hair,0.52,fur
4/10/23,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F4,no,Vertebrate,hair,0.01,fur
7/13/23,GCETRO,Jun2021,GCETRO_S1_02Jun2021,GCETRO_S1_02Jun2021_F3,yes,Vertebrate,hair,0.002,fur
4/19/23,GC15H,Dec2021,GC15H_S3_04Dec2021,GC15H_S3_04Dec2021_F2,no,Vertebrate,hair,0.255,fur
4/26/23,GCBB,Dec2021,GCBB_S3_05Dec2021,GCBB_S3_05Dec2021_F1,no,Vertebrate,hair,0.577,fur
4/26/23,GCBAR,Dec2021,GCBAR_S2_05Dec2021,GCBAR_S2_05Dec2021_F3,yes,Vertebrate,hair,0.001,fur
4/26/23,GCETRO,Dec2021,GCETRO_S8_06Dec2021,GCETRO_S8_06Dec2021_F2,yes,Vertebrate,hair,0.028,fur
4/26/23,GC15H,Jul2021,GC15H_S2_25Jul2021,GC15H_S2_25Jul2021_F2,no,Vertebrate,hair,0.001,fur
4/26/23,GC15H,Dec2021,GC15H_S1_04Dec2021,GC15H_S1_04Dec2021_F1,,Vertebrate,hair,0.63,fur
4/26/23,GCBH,Sep2021,GCBH_S4_12Sep2021,GCBH_S4_12Sep2021_F2,,Vertebrate,hair,0.017,fur
4/26/23,GCTL,Sep2021,GCTL_S2_14Sep2021,GCTL_S2_14Sep2021_F2,,Vertebrate,hair,0.036,n/a
6/26/23,GCBAR,Jun2021,GCBAR_S4_02Jun2021,GCBAR_S4_02Jun2021_F1,,Vertebrate,hair,0.056,n/a
7/24/23,GCWP,Jun2021,GCWP_S2_05Jun2021,GCWP_S2_05Jun2021_F3,,Vertebrate,hair,0.04,n/a
7/24/23,GCBH,Jun2021,GCBH_S4_05Jun2021,GCBH_S4_05Jun2021_F1,,Vertebrate,hair,0.022,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S5_14Sep2021,GCETRO_S5_14Sep2021_F1,,Vertebrate,hair,0.568,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S8_14Sep2021,GCETRO_S8_14Sep2021_F1,,Invertebrate,hair,0.002,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S8_14Sep2021,GCETRO_S8_14Sep2021_F2,,Vertebrate,hair,0.595,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S8_02Jun2021,GCETRO_S8_02Jun2021_F1,,Vertebrate,hair,0.09,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S8_02Jun2021,GCETRO_S8_02Jun2021_F2,,Vertebrate,hair,0.051,n/a
4/26/23,GCBH,Dec2021,GCBH_S1_05Dec2021,GCBH_S1_05Dec2021_F1,no,Vertebrate,hair and bones,0.228,fur and bone fragments
4/26/23,GCBH,Jun2021,GCBH_S2_05Jun2021,GCBH_S2_05Jun2021_F2,,Vertebrate,hair and bones,0.146,fur and bone fragments
4/26/23,GCBAR,Jun2021,GCBAR_S2_02Jun2021,GCBAR_S2_02Jun2021_F2,,Vertebrate,hair and bones,0.033,rib fragment
4/26/23,GCBAR,Dec2021,GCBAR_S1_06Dec2021,GCBAR_S1_06Dec2021_F2,,Vertebrate,hair and bones,0.385,fur and bone fragments
3/31/23,GCTL,Sep2021,GCTL_S4_14Sep2021,GCTL_S4_14Sep2021_F3,yes,Vertebrate,hair_and_bones,0.105,2_bones
3/31/23,GCETRO,Jun2021,GCET2_S12_02Jun2021,GCET2_S12_02Jun2021_F3,yes,Vertebrate,hair_and_bones,0.442,many_bones_little_fur
3/31/23,GCETRO,Jun2021,GCET2_S9_02Jun2021,GCET2_S9_02Jun2021_F2,yes,Vertebrate,hair_and_bones,0.267,many_bones_little_fur
4/10/23,GCETRO,Jun2021,GCET1_S6_02Jun2021,GCET1_S6_02Jun2021_F3,yes,Vertebrate,hair_and_bones,0.167,fur_and_various_bone_fragments
7/13/23,GCBH,Sep2021,GCBH_S5_12Sep2021,GCBH_S5_12Sep2021_F2,no,Vertebrate,hair_and_bones,0.638,bones_and_fur
6/26/23,GCBH,Sep2021,GCBH_S3_12Sep2021,GCBH_S3_12Sep2021_F2,,Vertebrate,hair_and_bones,0.032,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S4_02Jun2021,GCETRO_S4_02Jun2021_F1,,Vertebrate,hair_and_bones,0.695,n/a
7/24/23,GCETRO,Dec2021,GCETRO_S6_06Dec2021,GCETRO_S6_06Dec2021_F2,,Vertebrate,hair_teeth,0.222,n/a
7/24/23,GCBH,Jun2021,GCBH_S7_05Jun2021,GCBH_S7_05Jun2021_F2,,Invertebrate,leg,0.025,n/a
7/24/23,GCBH,Jun2021,GCBH_S5_05Jun2021,GCBH_S5_05Jun2021_F1,,Invertebrate,legs,0.058,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S7_14Sep2021,GCETRO_S7_14Sep2021_F3,,Invertebrate,legs,0.002,n/a
6/26/23,GCBAC,Sep2021,GCBAC_S10_12Sep2021,GCBAC_S10_12Sep2021_F1,,Invertebrate,legs_and_exoskeleton,0.084,n/a
7/24/23,GCWP,Jun2021,GCWP_S1_05Jun2021,GCWP_S1_05Jun2021_F3,,Invertebrate,legs_and_exoskeleton,0.002,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S7_02Jun2021,GCETRO_S7_02Jun2021_F1,,Invertebrate,legs_and_exoskeleton,0.102,n/a
4/26/23,GCBH,Jun2021,GCBH_S6_05Jun2021,GCBH_S6_05Jun2021_F1,,Anthropogenic,not_sure,0.002,n/a
4/26/23,GCBB,Sep2021,GCBB_S1_12Sep2021,GCBB_S1_12Sep2021_F1,,Anthropogenic,not_sure,0.348,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S7_02Jun2021,GCETRO_S7_02Jun2021_F3,,Anthropogenic,not_sure,0.038,n/a
3/31/23,GCETRO,Dec2021,GCETRO_S7_06Dec2021,GCETRO_S7_06Dec2021_F5,yes,Anthropogenic,paper,0.276,"says_""USDA organic""_on_label "
3/31/23,GCETRO,Jun2021,GCET2_S9_02Jun2021,GCET2_S9_02Jun2021_F4,yes,Anthropogenic,paper,0.243,n/a
4/10/23,GCBAC,Sep2021,GCBAC_S11_12Sep2021,GCBAC_S11_12Sep2021_F5,no,Anthropogenic,paper,0.007,n/a
4/10/23,GCETRO,Jun2021,GCET1_S6_02Jun2021,GCET1_S6_02Jun2021_F2,yes,Anthropogenic,paper,0.016,n/a
4/10/23,GCETRO,Sep2021,GCETRO_S6_14Sep2021,GCETRO_S6_14Sep2021_F5,yes,Anthropogenic,paper,0.062,paper
7/13/23,GCETRO,Jun2021,GCETRO_S1_02Jun2021,GCETRO_S1_02Jun2021_F2,yes,Anthropogenic,paper,0.11,paper
7/13/23,GCBH,Sep2021,GCBH_S2_12Sep2021,GCBH_S2_12Sep2021_F4,no,Anthropogenic,paper,0.022,paper
4/26/23,GCBAR,Dec2021,GCBAR_S2_05Dec2021,GCBAR_S2_05Dec2021_F1,yes,Anthropogenic,paper,0.001,n/a
4/26/23,GCTC,Dec2021,GCTC_S2_06Dec2021,GCTC_S2_06Dec2021_F1,,Anthropogenic,paper,0.216,straw wrapper?
4/26/23,GCTL,Sep2021,GCTL_S2_14Sep2021,GCTL_S2_14Sep2021_F1,,Anthropogenic,paper,0.64,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S5_02Jun2021,GCETRO_S5_02Jun2021_F2,,Anthropogenic,paper,0.079,n/a
7/24/23,GCWP,Jun2021,GCWP_S1_05Jun2021,GCWP_S1_05Jun2021_F1,,Anthropogenic,paper,0.191,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S2_14Sep2021,GCETRO_S2_14Sep2021_F3,,Anthropogenic,paper,0.046,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S7_12Sep2021,GCBAC_S7_12Sep2021_F1,,Anthropogenic,paper,0.178,n/a
7/24/23,GCWP,Jun2021,GCWP_S3_05Jun2021,GCWP_S3_05Jun2021_F2,,Anthropogenic,paper,0.096,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S1_12Sep2021,GCBAC_S1_12Sep2021_F2,,Anthropogenic,paper,0.201,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S2_12Sep2021,GCBAC_S2_12Sep2021_F2,,Anthropogenic,paper,0.002,n/a
7/24/23,GCETRO,Dec2021,GCETRO_S6_06Dec2021,GCETRO_S6_06Dec2021_F1,,Anthropogenic,paper,0.047,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S3_14Sep2021,GCETRO_S3_14Sep2021_F3,,Invertebrate,paper,0.133,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S8_02Jun2021,GCETRO_S8_02Jun2021_F2,,Anthropogenic,paper,0.566,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S7_14Sep2021,GCETRO_S7_14Sep2021_F4,,Anthropogenic,paper,0.116,n/a
